SN;Commodity;Date;Unit;Minimum;Maximum;Average
0;Tomato Big(Nepali);16/06/2013;Kg;35;40;37.5
74;Tomato Big(Nepali);17/06/2013;Kg;25;30;27.5
147;Tomato Big(Nepali);18/06/2013;Kg;25;30;27.5
220;Tomato Big(Nepali);19/06/2013;Kg;25;30;27.5
293;Tomato Big(Nepali);20/06/2013;Kg;25;30;27.5
367;Tomato Big(Nepali);21/06/2013;Kg;25;30;27.5
441;Tomato Big(Nepali);25/06/2013;Kg;30;35;32.5
514;Tomato Big(Nepali);26/06/2013;Kg;30;35;32.5
587;Tomato Big(Nepali);27/06/2013;Kg;30;35;32.5
659;Tomato Big(Nepali);28/06/2013;Kg;30;35;32.5
729;Tomato Big(Nepali);30/06/2013;Kg;25;30;27.5
799;Tomato Big(Nepali);01/07/2013;Kg;25;30;27.5
869;Tomato Big(Nepali);02/07/2013;Kg;30;35;32.5
938;Tomato Big(Nepali);03/07/2013;Kg;30;35;32.5
1008;Tomato Big(Nepali);04/07/2013;Kg;30;35;32.5
1078;Tomato Big(Nepali);05/07/2013;Kg;30;35;32.5
1147;Tomato Big(Nepali);09/07/2013;Kg;55;60;57.5
1217;Tomato Big(Nepali);10/07/2013;Kg;55;60;57.5
1287;Tomato Big(Nepali);11/07/2013;Kg;55;60;57.5
1356;Tomato Big(Nepali);12/07/2013;Kg;70;80;75
1426;Tomato Big(Nepali);14/07/2013;Kg;75;80;77.5
1496;Tomato Big(Nepali);15/07/2013;Kg;75;80;77.5
1564;Tomato Big(Nepali);16/07/2013;Kg;80;90;85
1633;Tomato Big(Nepali);17/07/2013;Kg;80;90;85
1704;Tomato Big(Nepali);18/07/2013;Kg;65;70;67.5
1775;Tomato Big(Nepali);19/07/2013;Kg;55;60;57.5
1845;Tomato Big(Nepali);21/07/2013;Kg;50;55;52.5
1916;Tomato Big(Nepali);22/07/2013;Kg;55;60;57.5
1987;Tomato Big(Nepali);23/07/2013;Kg;55;60;57.5
2056;Tomato Big(Nepali);24/07/2013;Kg;50;55;52.5
2125;Tomato Big(Nepali);25/07/2013;Kg;50;55;52.5
2195;Tomato Big(Nepali);26/07/2013;Kg;45;50;47.5
2263;Tomato Big(Nepali);28/07/2013;Kg;40;50;45
2333;Tomato Big(Nepali);29/07/2013;Kg;50;55;52.5
2401;Tomato Big(Nepali);30/07/2013;Kg;50;55;52.5
2468;Tomato Big(Nepali);31/07/2013;Kg;40;45;42.5
2534;Tomato Big(Nepali);01/08/2013;Kg;45;55;50
2601;Tomato Big(Nepali);02/08/2013;Kg;45;50;47.5
2669;Tomato Big(Nepali);04/08/2013;Kg;40;45;42.5
2736;Tomato Big(Nepali);05/08/2013;Kg;35;40;37.5
2802;Tomato Big(Nepali);06/08/2013;Kg;35;40;37.5
2867;Tomato Big(Nepali);07/08/2013;Kg;34;36;35
2933;Tomato Big(Nepali);08/08/2013;Kg;30;35;32.5
3001;Tomato Big(Nepali);12/08/2013;Kg;18;20;19
3041;Tomato Big(Nepali);13/08/2013;Kg;30;35;32.5
3109;Tomato Big(Nepali);14/08/2013;Kg;35;40;37.5
3179;Tomato Big(Nepali);15/08/2013;Kg;35;40;37.5
3247;Tomato Big(Nepali);16/08/2013;Kg;55;60;57.5
3318;Tomato Big(Nepali);18/08/2013;Kg;55;60;57.5
3389;Tomato Big(Nepali);19/08/2013;Kg;55;60;57.5
3459;Tomato Big(Nepali);20/08/2013;Kg;55;60;57.5
3530;Tomato Big(Nepali);23/08/2013;Kg;55;60;57.5
3601;Tomato Big(Nepali);25/08/2013;Kg;45;50;47.5
3672;Tomato Big(Nepali);26/08/2013;Kg;50;55;52.5
3743;Tomato Big(Nepali);27/08/2013;Kg;40;45;42.5
3813;Tomato Big(Nepali);29/08/2013;Kg;35;40;37.5
3882;Tomato Big(Nepali);30/08/2013;Kg;35;40;37.5
3953;Tomato Big(Nepali);01/09/2013;Kg;35;40;37.5
4021;Tomato Big(Nepali);02/09/2013;Kg;38;42;40
4090;Tomato Big(Nepali);03/09/2013;Kg;40;45;42.5
4157;Tomato Big(Nepali);04/09/2013;Kg;40;45;42.5
4227;Tomato Big(Nepali);05/09/2013;Kg;40;45;42.5
4297;Tomato Big(Nepali);06/09/2013;Kg;45;50;47.5
4367;Tomato Big(Nepali);08/09/2013;Kg;42;46;44
4438;Tomato Big(Nepali);09/09/2013;Kg;45;50;47.5
4509;Tomato Big(Nepali);10/09/2013;Kg;45;50;47.5
4580;Tomato Big(Nepali);11/09/2013;Kg;40;45;42.5
4651;Tomato Big(Nepali);12/09/2013;Kg;40;45;42.5
4721;Tomato Big(Nepali);13/09/2013;Kg;32;36;34
4790;Tomato Big(Nepali);15/09/2013;Kg;35;40;37.5
4859;Tomato Big(Nepali);16/09/2013;Kg;35;40;37.5
4929;Tomato Big(Nepali);17/09/2013;Kg;35;40;37.5
4999;Tomato Big(Nepali);19/09/2013;Kg;40;45;42.5
5069;Tomato Big(Nepali);20/09/2013;Kg;38;40;39
5138;Tomato Big(Nepali);22/09/2013;Kg;40;45;42.5
5209;Tomato Big(Nepali);23/09/2013;Kg;38;40;39
5280;Tomato Big(Nepali);24/09/2013;Kg;40;45;42.5
5352;Tomato Big(Nepali);25/09/2013;Kg;32;36;34
5423;Tomato Big(Nepali);26/09/2013;Kg;35;40;37.5
5494;Tomato Big(Nepali);27/09/2013;Kg;35;40;37.5
5566;Tomato Big(Nepali);29/09/2013;Kg;30;35;32.5
5639;Tomato Big(Nepali);30/09/2013;Kg;35;40;37.5
5710;Tomato Big(Nepali);01/10/2013;Kg;35;40;37.5
5782;Tomato Big(Nepali);02/10/2013;Kg;40;45;42.5
5856;Tomato Big(Nepali);03/10/2013;Kg;40;45;42.5
5929;Tomato Big(Nepali);04/10/2013;Kg;40;45;42.5
6003;Tomato Big(Nepali);06/10/2013;Kg;50;55;52.5
6075;Tomato Big(Nepali);07/10/2013;Kg;75;80;77.5
6150;Tomato Big(Nepali);08/10/2013;Kg;55;60;57.5
6225;Tomato Big(Nepali);09/10/2013;Kg;60;65;62.5
6300;Tomato Big(Nepali);10/10/2013;Kg;55;60;57.5
6375;Tomato Big(Nepali);11/10/2013;Kg;55;60;57.5
6450;Tomato Big(Nepali);12/10/2013;Kg;50;55;52.5
6520;Tomato Big(Nepali);13/10/2013;Kg;50;55;52.5
6559;Tomato Big(Nepali);14/10/2013;Kg;45;50;47.5
6595;Tomato Big(Nepali);15/10/2013;Kg;40;45;42.5
6631;Tomato Big(Nepali);16/10/2013;Kg;40;45;42.5
6696;Tomato Big(Nepali);17/10/2013;Kg;35;40;37.5
6764;Tomato Big(Nepali);20/10/2013;Kg;35;40;37.5
6837;Tomato Big(Nepali);21/10/2013;Kg;35;40;37.5
6909;Tomato Big(Nepali);22/10/2013;Kg;40;45;42.5
6980;Tomato Big(Nepali);23/10/2013;Kg;40;45;42.5
7049;Tomato Big(Nepali);24/10/2013;Kg;50;55;52.5
7119;Tomato Big(Nepali);25/10/2013;Kg;55;60;57.5
7191;Tomato Big(Nepali);27/10/2013;Kg;60;65;62.5
7263;Tomato Big(Nepali);28/10/2013;Kg;50;60;55
7336;Tomato Big(Nepali);29/10/2013;Kg;50;60;55
7410;Tomato Big(Nepali);30/10/2013;Kg;55;60;57.5
7484;Tomato Big(Nepali);31/10/2013;Kg;55;60;57.5
7556;Tomato Big(Nepali);01/11/2013;Kg;55;60;57.5
7630;Tomato Big(Nepali);03/11/2013;Kg;55;60;57.5
7701;Tomato Big(Nepali);04/11/2013;Kg;55;60;57.5
7775;Tomato Big(Nepali);05/11/2013;Kg;60;70;65
7830;Tomato Big(Nepali);06/11/2013;Kg;90;100;95
7877;Tomato Big(Nepali);07/11/2013;Kg;90;100;95
7942;Tomato Big(Nepali);10/11/2013;Kg;80;90;85
8008;Tomato Big(Nepali);11/11/2013;Kg;80;90;85
8069;Tomato Big(Nepali);12/11/2013;Kg;85;90;87.5
8132;Tomato Big(Nepali);13/11/2013;Kg;85;90;87.5
8196;Tomato Big(Nepali);14/11/2013;Kg;95;100;97.5
8259;Tomato Big(Nepali);15/11/2013;Kg;90;100;95
8324;Tomato Big(Nepali);16/11/2013;Kg;85;100;92.5
8390;Tomato Big(Nepali);17/11/2013;Kg;90;100;95
8454;Tomato Big(Nepali);18/11/2013;Kg;85;100;92.5
8519;Tomato Big(Nepali);20/11/2013;Kg;90;100;95
8581;Tomato Big(Nepali);21/11/2013;Kg;80;90;85
